artist,genre
Shimon,"['jump up', 'jungle', 'drum and bass']"
THE EXITS,[]
Boyz N Da Hood,"['southern hip hop', 'crunk', 'dirty south rap', 'trap music', 'pop rap', 'gangster rap', 'memphis hip hop']"
PAUL RODGERS,"['blues-rock', 'british blues', 'modern blues', 'classic rock', 'electric blues', 'southern rock', 'texas blues']"
THE G-CLEFS,"['soda pop', 'doo-wop']"
DENIECE WILLIAMS,"['quiet storm', 'soul christmas', 'disco', 'funk', 'post-disco', 'motown', 'soul', 'classic funk rock', 'hi nrg', 'new jack swing', 'urban contemporary']"
Chester Gregory,['neo soul-jazz']
KONGAS,[]
HI-TOWN DJ'S,[]
PEOPLE,[]
Christopher S,['pop house']
Matheo Velez,"['deep tech house', 'deep deep house']"
Dj Anna,['deep tech house']
DIDDY featuring NICOLE SCHERZINGER,"['hip pop', 'pop rap', 'hip hop', 'dance pop', 'rap', 'urban contemporary', 'r&b']"
MONA LISA,[]
Manufactured Superstars,"['edm', 'progressive electro house', 'big room', 'complextro', 'house', 'electro house']"
Mange Makers,[]
HANSIE,[]
DJ JURGEN pres. ALICE DEEJAY,"['eurodance', 'bubblegum dance', 'europop', 'bubble trance']"
Brenk Sinatra,['abstract beats']
LIL WAYNE featuring DRAKE & JADAKISS,"['pop rap', 'trap music', 'southern hip hop', 'dirty south rap', 'crunk', 'hip hop', 'pop christmas']"
Verbal Kent,"['underground rap', 'soul flow', 'flick hop']"
Shane Yellowbird,"['canadian country', 'modern country rock', 'country road']"
Jansport J,"['beats & rhymes', 'ambeat']"
BARRY RYAN,"['bubblegum pop', 'merseybeat', 'british invasion']"
THE ANITA KERR QUARTET,[]
BRYAN ADAMS,"['mellow gold', 'soft rock', 'album rock', 'rock']"
New Build,['shimmer pop']
AMBER,"['eurodance', 'europop', 'vocal house', 'hip house', 'dutch pop']"
AARON TIPPIN,"['country christmas', 'country', 'country road', 'contemporary country', 'country gospel']"
INXS,"['dance rock', 'new wave pop', 'new wave', 'new romantic', 'australian alternative rock', 'synthpop', 'album rock']"
BEAUTIFUL BEND,['deep disco']
FONTELLA BASS,"['chicago soul', 'beach music', 'southern soul', 'northern soul', 'memphis soul', 'soul', 'motown', 'soul blues', 'jazz blues', 'brill building pop']"
McCOYS,"['bubblegum pop', 'british invasion', 'merseybeat', 'classic garage rock']"
DESMOND CHILD,['melodic hard rock']
ROSCOE DASH featuring SOULJA BOY TELL'EM,"['jerk', 'trap music', 'pop rap', 'southern hip hop', 'crunk', 'alternative hip hop', 'dirty south rap']"
Don Rimini,"['fidget house', 'destroy techno', 'electro house', 'filter house']"
LIL WAYNE featuring DETAIL,"['pop rap', 'trap music', 'southern hip hop', 'dirty south rap', 'crunk', 'hip hop', 'pop christmas']"
THIRD WORLD,"['roots reggae', 'reggae', 'lovers rock', 'dancehall', 'dub', 'reggae fusion']"
THE RUBINOOS,"['power pop', 'jangle pop', 'pub rock', 'underground power pop']"
ALTON McCLAIN & DESTINY,[]
FLEETWOOD MAC,"['mellow gold', 'soft rock', 'folk rock', 'british blues', 'singer-songwriter', 'classic rock', 'album rock', 'blues-rock', 'rock', 'roots rock']"
BRIAN McKNIGHT,"['soul christmas', 'urban contemporary', 'r&b', 'new jack swing', 'pop christmas', 'quiet storm', 'neo soul', 'dance pop']"
2 CHAINZ featuring KANYE WEST,"['trap music', 'deep trap', 'alternative hip hop', 'pop rap', 'southern hip hop', 'dirty south rap', 'crunk', 'hip hop']"
Sean Rowe,['new americana']
RAMSEY LEWIS TRIO,"['soul jazz', 'jazz christmas']"
TYMES,"['beach music', 'doo-wop', 'chicago soul', 'brill building pop', 'northern soul', 'motown']"
Felix da Housecat,"['electroclash', 'acid house', 'chicago house', 'alternative dance', 'house', 'electronic', 'electro house', 'big beat', 'new rave', 'indietronica', 'synthpop']"
Kashii,"['future garage', 'trapstep', 'vapor house', 'cinematic dubstep']"
OUTKAST featuring KILLER MIKE,"['hip hop', 'pop rap', 'dirty south rap', 'southern hip hop', 'rap']"
Aloa,[]
